,year,month,day,irradiance
397,2012,8,26,3.96
398,2012,8,27,4.78
399,2012,8,28,4.29
400,2012,8,29,2.56
401,2012,8,30,2.71
402,2012,8,31,5.61
403,2013,8,1,5.26
404,2013,8,2,6.29
405,2013,8,3,5.96
406,2013,8,4,6.43
407,2013,8,5,3.99
408,2013,8,6,3.58
409,2013,8,7,4.36
410,2013,8,8,3.17
411,2013,8,9,1.81
412,2013,8,10,5.06
413,2013,8,11,4.07
414,2013,8,12,4.78
415,2013,8,13,4.63
416,2013,8,14,5.02
417,2013,8,15,3.6
418,2013,8,16,3.03
419,2013,8,17,3.71
420,2013,8,18,4.78
421,2013,8,19,4.47
422,2013,8,20,3.51
423,2013,8,21,5.82
424,2013,8,22,4.6
425,2013,8,23,5.57
426,2013,8,24,6.11
427,2013,8,25,4.99
428,2013,8,26,6.03
429,2013,8,27,6.13
430,2013,8,28,5.04
431,2013,8,29,4.58
432,2013,8,30,2.96
433,2013,8,31,3.21
434,2014,8,1,6.36
435,2014,8,2,3.59
436,2014,8,3,5.41
437,2014,8,4,3.84
438,2014,8,5,3.96
439,2014,8,6,4.82
440,2014,8,7,4.25
441,2014,8,8,4.12
442,2014,8,9,4.75
443,2014,8,10,4.08
444,2014,8,11,4.87
445,2014,8,12,6.07
446,2014,8,13,6.38
447,2014,8,14,6.26
448,2014,8,15,5.04
449,2014,8,16,5.15
450,2014,8,17,6.55
451,2014,8,18,6.34
452,2014,8,19,5.87
453,2014,8,20,6.59
454,2014,8,21,6.79
455,2014,8,22,6.98
456,2014,8,23,6.83
457,2014,8,24,6.96
458,2014,8,25,6.73
459,2014,8,26,6.53
460,2014,8,27,6.39
461,2014,8,28,4.55
462,2014,8,29,4.5
463,2014,8,30,4.06
464,2014,8,31,3.75
465,2023,8,1,6.3
466,2023,8,2,4.77
467,2023,8,3,4.99
468,2023,8,4,3.17
469,2023,8,5,3.79
470,2023,8,6,5.49
471,2023,8,7,4.77
472,2023,8,8,4.77
473,2023,8,9,4.51
474,2023,8,10,4.81
475,2023,8,11,5.53
476,2023,8,12,6.27
477,2023,8,13,4.49
478,2023,8,14,4.57
479,2023,8,15,4.51
480,2023,8,16,5.12
481,2023,8,17,5.98
482,2023,8,18,5.77
483,2023,8,19,3.97
484,2023,8,20,6.0
485,2023,8,21,5.64
486,2023,8,22,3.16
487,2023,8,23,0.88
488,2023,8,24,4.78
489,2023,8,25,5.49
490,2023,8,26,5.68
491,2023,8,27,5.66
492,2023,8,28,5.78
493,2023,8,29,6.03
494,2023,8,30,6.1
495,2023,8,31,6.09
496,2022,9,1,5.36
497,2022,9,2,4.44
498,2022,9,3,6.07
499,2022,9,4,6.16
500,2022,9,5,6.1
501,2022,9,6,5.57
502,2022,9,7,5.97
503,2022,9,8,5.42
504,2022,9,9,4.74
505,2022,9,10,4.2
506,2022,9,11,5.22
507,2022,9,12,5.39
508,2022,9,13,5.19
509,2022,9,14,3.12
510,2022,9,15,2.43
511,2022,9,16,1.75
512,2022,9,17,4.85
513,2022,9,18,4.94
514,2022,9,19,3.34
515,2022,9,20,3.56
516,2022,9,21,2.44
517,2022,9,22,1.6
518,2022,9,23,1.7
519,2022,9,24,1.12
520,2022,9,25,3.2
521,2022,9,26,4.72
522,2022,9,27,5.37
523,2022,9,28,5.27
524,2022,9,29,5.2
525,2022,9,30,4.99
526,2021,9,1,1.0
527,2021,9,2,4.94
528,2021,9,3,5.23
529,2021,9,4,3.87
530,2021,9,5,5.33
531,2021,9,6,5.01
532,2021,9,7,3.59
533,2021,9,8,4.85
534,2021,9,9,4.06
535,2021,9,10,4.16
536,2021,9,11,1.05
537,2021,9,12,4.71
538,2021,9,13,3.06
539,2021,9,14,5.07
540,2021,9,15,4.99
541,2021,9,16,2.45
542,2021,9,17,3.36
543,2021,9,18,4.63
544,2021,9,19,5.57
545,2021,9,20,5.41
546,2021,9,21,4.33
547,2021,9,22,2.97
548,2021,9,23,4.53
549,2021,9,24,4.1
550,2021,9,25,4.14
551,2021,9,26,4.05
552,2021,9,27,5.11
553,2021,9,28,5.44
554,2021,9,29,5.29
555,2021,9,30,4.94
556,2020,9,1,5.78
557,2020,9,2,4.96
558,2020,9,3,4.86
559,2020,9,4,4.75
560,2020,9,5,5.35
561,2020,9,6,5.49
562,2020,9,7,4.77
563,2020,9,8,5.5
564,2020,9,9,5.77
565,2020,9,10,6.01
566,2020,9,11,5.93
567,2020,9,12,5.72
568,2020,9,13,5.17
569,2020,9,14,4.56
570,2020,9,15,5.03
571,2020,9,16,5.4
572,2020,9,17,5.75
573,2020,9,18,5.7
574,2020,9,19,5.24
575,2020,9,20,5.38
576,2020,9,21,5.18
577,2020,9,22,5.21
578,2020,9,23,4.97
579,2020,9,24,5.09
580,2020,9,25,5.7
581,2020,9,26,4.4
582,2020,9,27,5.59
583,2020,9,28,5.74
584,2020,9,29,5.62
585,2020,9,30,5.78
586,2019,9,1,3.34
587,2019,9,2,5.33
588,2019,9,3,4.49
589,2019,9,4,4.09
590,2019,9,5,4.44
591,2019,9,6,4.76
592,2019,9,7,3.83
593,2019,9,8,5.31
594,2019,9,9,5.54
595,2019,9,10,5.17
596,2019,9,11,5.39
597,2019,9,12,4.46
598,2019,9,13,5.09
599,2019,9,14,4.08
600,2019,9,15,3.68
601,2019,9,16,5.04
602,2019,9,17,4.48
603,2019,9,18,5.44
604,2019,9,19,4.37
605,2019,9,20,4.77
606,2019,9,21,4.85
607,2019,9,22,2.79
608,2019,9,23,4.49
609,2019,9,24,4.07
610,2019,9,25,4.27
611,2019,9,26,4.17
612,2019,9,27,3.76
613,2019,9,28,3.52
614,2019,9,29,3.11
615,2019,9,30,3.57
616,2018,9,1,2.74
617,2018,9,2,2.68
618,2018,9,3,2.15
619,2018,9,4,3.05
620,2018,9,5,2.86
621,2018,9,6,4.99
622,2018,9,7,4.01
623,2018,9,8,3.43
624,2018,9,9,5.03
625,2018,9,10,4.65
626,2018,9,11,4.82
627,2018,9,12,5.53
628,2018,9,13,5.93
629,2018,9,14,5.95
630,2018,9,15,5.91
631,2018,9,16,6.04
632,2018,9,17,5.57
633,2018,9,18,5.92
634,2018,9,19,6.01
635,2018,9,20,5.89
636,2018,9,21,4.68
637,2018,9,22,1.91
638,2018,9,23,2.6
639,2018,9,24,1.62
640,2018,9,25,3.24
641,2018,9,26,5.86
642,2018,9,27,5.68
643,2018,9,28,5.86
644,2018,9,29,5.96
645,2018,9,30,5.73
646,2017,9,1,3.62
647,2017,9,2,3.67
648,2017,9,3,5.98
649,2017,9,4,5.85
650,2017,9,5,5.93
651,2017,9,6,5.73
652,2017,9,7,4.16
653,2017,9,8,5.54
654,2017,9,9,6.1
655,2017,9,10,6.03
656,2017,9,11,5.15
657,2017,9,12,5.43
658,2017,9,13,5.3
659,2017,9,14,3.95
660,2017,9,15,5.46
661,2017,9,16,2.88
662,2017,9,17,4.73
663,2017,9,18,5.89
664,2017,9,19,5.3
665,2017,9,20,5.29
666,2017,9,21,4.55
667,2017,9,22,1.03
668,2017,9,23,1.67
669,2017,9,24,4.65
670,2017,9,25,5.86
671,2017,9,26,5.85
672,2017,9,27,5.76
673,2017,9,28,5.71
674,2017,9,29,5.35
675,2017,9,30,5.82
676,2016,9,1,2.8
677,2016,9,2,5.39
678,2016,9,3,6.39
679,2016,9,4,6.21
680,2016,9,5,5.96
681,2016,9,6,5.78
682,2016,9,7,5.86
683,2016,9,8,5.6
684,2016,9,9,5.99
685,2016,9,10,6.07
686,2016,9,11,6.05
687,2016,9,12,5.67
688,2016,9,13,4.91
689,2016,9,14,5.08
690,2016,9,15,5.5
691,2016,9,16,5.64
692,2016,9,17,5.31
693,2016,9,18,5.21
694,2016,9,19,5.53
695,2016,9,20,5.57
696,2016,9,21,4.95
697,2016,9,22,4.15
698,2016,9,23,5.27
699,2016,9,24,4.99
700,2016,9,25,5.04
701,2016,9,26,4.97
702,2016,9,27,4.78
703,2016,9,28,4.93
704,2016,9,29,4.51
705,2016,9,30,4.97
706,2015,9,1,6.56
707,2015,9,2,5.91
708,2015,9,3,5.93
709,2015,9,4,6.26
710,2015,9,5,6.65
711,2015,9,6,6.56
712,2015,9,7,6.51
713,2015,9,8,6.44
714,2015,9,9,6.52
715,2015,9,10,6.55
716,2015,9,11,6.35
717,2015,9,12,5.41
718,2015,9,13,5.5
719,2015,9,14,5.62
720,2015,9,15,5.56
721,2015,9,16,5.0
722,2015,9,17,4.86
723,2015,9,18,4.28
724,2015,9,19,4.83
725,2015,9,20,5.18
726,2015,9,21,5.16
727,2015,9,22,5.4
728,2015,9,23,5.18
729,2015,9,24,6.08
730,2015,9,25,6.03
731,2015,9,26,5.86
732,2015,9,27,5.47
733,2015,9,28,5.84
734,2015,9,29,5.91
735,2015,9,30,6.04
736,2023,9,1,6.04
737,2023,9,2,6.43
738,2023,9,3,6.61
739,2023,9,4,6.49
740,2023,9,5,6.21
741,2023,9,6,4.16
742,2023,9,7,5.63
743,2023,9,8,5.17
744,2023,9,9,3.19
745,2023,9,10,2.69
746,2023,9,11,4.48
747,2023,9,12,4.75
748,2023,9,13,4.54
749,2023,9,14,4.99
750,2023,9,15,3.87
751,2023,9,16,2.98
752,2023,9,17,3.98
753,2023,9,18,5.54
754,2023,9,19,5.83
755,2023,9,20,5.64
756,2023,9,21,4.94
757,2023,9,22,5.08
758,2023,9,23,3.98
759,2023,9,24,4.26
760,2023,9,25,5.46
761,2023,9,26,5.3
762,2023,9,27,5.65
763,2023,9,28,5.87
764,2023,9,29,5.78
765,2023,9,30,5.7
766,2014,9,1,5.43
767,2014,9,2,4.21
768,2014,9,3,3.85
769,2014,9,4,3.89
770,2014,9,5,3.04
771,2014,9,6,4.18
772,2014,9,7,5.13
773,2014,9,8,5.36
774,2014,9,9,5.5
775,2014,9,10,4.36
776,2014,9,11,2.64
777,2014,9,12,4.88
778,2014,9,13,5.48
779,2014,9,14,5.31
780,2014,9,15,5.99
781,2014,9,16,5.82
782,2014,9,17,5.84
783,2014,9,18,6.34
784,2014,9,19,6.19
785,2014,9,20,5.66
786,2014,9,21,5.89
787,2014,9,22,6.28
788,2014,9,23,6.2
789,2014,9,24,6.19
790,2014,9,25,6.35
791,2014,9,26,5.92
792,2014,9,27,5.92
793,2014,9,28,5.9
794,2014,9,29,5.98
795,2014,9,30,5.82
796,2013,9,1,5.96
797,2013,9,2,6.25
798,2013,9,3,6.37
799,2013,9,4,6.42
800,2013,9,5,6.45
801,2013,9,6,6.48
802,2013,9,7,6.45
803,2013,9,8,4.64
804,2013,9,9,4.44
805,2013,9,10,5.66
806,2013,9,11,5.68
807,2013,9,12,5.3
808,2013,9,13,5.19
809,2013,9,14,5.43
810,2013,9,15,5.63
811,2013,9,16,5.34
812,2013,9,17,6.01
813,2013,9,18,6.1
814,2013,9,19,6.11
815,2013,9,20,3.79
816,2013,9,21,3.34
817,2013,9,22,5.4
818,2013,9,23,5.35
819,2013,9,24,5.36
820,2013,9,25,4.17
821,2013,9,26,4.63
822,2013,9,27,5.51
823,2013,9,28,5.08
824,2013,9,29,3.1
825,2013,9,30,3.63
826,2012,9,1,5.29
827,2012,9,2,3.35
828,2012,9,3,4.89
829,2012,9,4,4.62
830,2012,9,5,6.1
831,2012,9,6,5.27
832,2012,9,7,3.93
833,2012,9,8,4.63
834,2012,9,9,5.46
835,2012,9,10,5.33
836,2012,9,11,4.59
837,2012,9,12,4.3
838,2012,9,13,4.04
839,2012,9,14,3.72
840,2012,9,15,4.15
841,2012,9,16,4.65
842,2012,9,17,3.89
843,2012,9,18,3.51
844,2012,9,19,5.07
845,2012,9,20,5.42
846,2012,9,21,6.16
847,2012,9,22,6.01
848,2012,9,23,6.09
849,2012,9,24,6.14
850,2012,9,25,6.11
851,2012,9,26,5.98
852,2012,9,27,5.75
853,2012,9,28,5.82
854,2012,9,29,5.77
855,2012,9,30,5.78
856,2011,9,1,6.06
857,2011,9,2,5.67
858,2011,9,3,4.3
859,2011,9,4,3.05
860,2011,9,5,3.14
861,2011,9,6,4.42
862,2011,9,7,4.02
863,2011,9,8,4.44
864,2011,9,9,3.12
865,2011,9,10,5.18
866,2011,9,11,5.25
867,2011,9,12,4.59
868,2011,9,13,5.28
869,2011,9,14,4.93
870,2011,9,15,3.27
871,2011,9,16,4.1
872,2011,9,17,5.77
873,2011,9,18,5.54
874,2011,9,19,5.24
875,2011,9,20,5.76
876,2011,9,21,5.68
877,2011,9,22,5.81
878,2011,9,23,5.75
879,2011,9,24,6.08
880,2011,9,25,6.04
881,2011,9,26,5.98
882,2011,9,27,5.8
883,2011,9,28,5.99
884,2011,9,29,6.06
885,2011,9,30,6.06
886,2010,9,1,3.79
887,2010,9,2,4.04
888,2010,9,3,3.96
889,2010,9,4,3.15
890,2010,9,5,2.35
891,2010,9,6,4.0
892,2010,9,7,3.55
893,2010,9,8,3.43
894,2010,9,9,3.83
895,2010,9,10,4.18
896,2010,9,11,3.48
897,2010,9,12,2.8
898,2010,9,13,3.57
899,2010,9,14,4.19
900,2010,9,15,3.94
901,2010,9,16,4.8
902,2010,9,17,4.14
903,2010,9,18,3.85
904,2010,9,19,1.36
905,2010,9,20,2.59
906,2010,9,21,2.38
907,2010,9,22,2.65
908,2010,9,23,3.28
909,2010,9,24,5.27
910,2010,9,25,5.64
911,2010,9,26,5.84
912,2010,9,27,5.99
913,2010,9,28,6.18
914,2010,9,29,6.09
915,2010,9,30,5.85
916,2009,9,1,5.07
917,2009,9,2,4.8
918,2009,9,3,4.89
919,2009,9,4,4.4
920,2009,9,5,5.3
921,2009,9,6,5.75
922,2009,9,7,6.45
923,2009,9,8,3.83
924,2009,9,9,4.45
925,2009,9,10,1.44
926,2009,9,11,1.39
927,2009,9,12,2.76
928,2009,9,13,5.43
929,2009,9,14,6.1
930,2009,9,15,6.44
931,2009,9,16,6.09
932,2009,9,17,5.88
933,2009,9,18,6.09
934,2009,9,19,5.93
935,2009,9,20,6.0
936,2009,9,21,5.72
937,2009,9,22,5.56
938,2009,9,23,5.59
939,2009,9,24,5.99
940,2009,9,25,5.89
941,2009,9,26,5.54
942,2009,9,27,4.96
943,2009,9,28,5.67
944,2009,9,29,5.25
945,2009,9,30,5.27
946,2008,9,1,6.35
947,2008,9,2,6.43
948,2008,9,3,6.43
949,2008,9,4,6.42
950,2008,9,5,6.47
951,2008,9,6,5.74
952,2008,9,7,5.55
953,2008,9,8,5.43
954,2008,9,9,5.88
955,2008,9,10,5.55
956,2008,9,11,3.79
957,2008,9,12,5.62
958,2008,9,13,5.88
959,2008,9,14,5.59
960,2008,9,15,4.52
961,2008,9,16,5.49
962,2008,9,17,4.85
963,2008,9,18,3.29
964,2008,9,19,2.12
965,2008,9,20,2.8
966,2008,9,21,2.78
967,2008,9,22,5.81
968,2008,9,23,5.84
969,2008,9,24,6.08
970,2008,9,25,5.7
971,2008,9,26,6.0
972,2008,9,27,5.86
973,2008,9,28,5.6
974,2008,9,29,5.38
975,2008,9,30,4.95
976,2008,10,1,4.69
977,2008,10,2,4.45
978,2008,10,3,4.16
979,2008,10,4,4.63
980,2008,10,5,5.07
981,2008,10,6,5.15
982,2008,10,7,5.4
983,2008,10,8,5.43
984,2008,10,9,5.16
985,2008,10,10,5.17
986,2008,10,11,4.89
987,2008,10,12,4.96
988,2008,10,13,5.08
989,2008,10,14,4.86
990,2008,10,15,4.34
991,2008,10,16,3.82
992,2008,10,17,4.85
993,2008,10,18,5.03
994,2008,10,19,4.88
995,2008,10,20,4.53
996,2008,10,21,4.17
997,2008,10,22,3.99
998,2008,10,23,4.06
999,2008,10,24,4.14
1000,2008,10,25,4.15
1001,2008,10,26,4.19
1002,2008,10,27,4.11
1003,2008,10,28,3.96
1004,2008,10,29,4.4
1005,2008,10,30,4.34
1006,2008,10,31,4.06
1007,2009,10,1,4.97
1008,2009,10,2,5.69
1009,2009,10,3,5.29
1010,2009,10,4,2.34
1011,2009,10,5,2.03
1012,2009,10,6,2.84
1013,2009,10,7,5.23
1014,2009,10,8,5.51
1015,2009,10,9,5.46
1016,2009,10,10,5.26
1017,2009,10,11,5.28
1018,2009,10,12,5.12
1019,2009,10,13,4.97
1020,2009,10,14,4.6
1021,2009,10,15,4.49
1022,2009,10,16,3.89
1023,2009,10,17,4.61
1024,2009,10,18,4.78
1025,2009,10,19,4.42
1026,2009,10,20,4.74
1027,2009,10,21,4.83
1028,2009,10,22,4.95
1029,2009,10,23,4.53
1030,2009,10,24,4.8
1031,2009,10,25,4.53
1032,2009,10,26,4.45
1033,2009,10,27,4.43
1034,2009,10,28,4.16
1035,2009,10,29,3.9
1036,2009,10,30,4.6
1037,2009,10,31,4.35
1038,2010,10,1,5.56
1039,2010,10,2,5.09
1040,2010,10,3,5.06
1041,2010,10,4,5.09
1042,2010,10,5,4.98
1043,2010,10,6,5.3
1044,2010,10,7,4.59
1045,2010,10,8,5.08
1046,2010,10,9,4.72
1047,2010,10,10,5.61
1048,2010,10,11,5.58
1049,2010,10,12,5.2
1050,2010,10,13,5.12
1051,2010,10,14,5.25
1052,2010,10,15,5.06
1053,2010,10,16,5.14
1054,2010,10,17,4.91
1055,2010,10,18,4.77
1056,2010,10,19,4.74
1057,2010,10,20,3.78
1058,2010,10,21,2.9
1059,2010,10,22,4.03
1060,2010,10,23,4.53
1061,2010,10,24,4.89
1062,2010,10,25,4.67
1063,2010,10,26,4.26
1064,2010,10,27,4.11
1065,2010,10,28,4.31
1066,2010,10,29,3.95
1067,2010,10,30,3.86
